,Facility Name,Site Address,Facility Type,Last Inspection Date,url,category
0,18 Wheeler Restaurant,3613 Queen's Line  Tilbury ON N0P 2L0,Restaurant,06-Dec-2023,location.href = '/Facility/Details/abecbce9-6cd0-45d3-9ddc-5b35825edbb3' ,Food Premisis
1,7-Eleven,10 Grand Ave W  Chatham ON N7L 1B5,Food Take Out,26-Jan-2024,location.href = '/Facility/Details/467840e9-eddd-44e5-be17-00fe27cd07e7' ,Food Premisis
2,A Taste of Britain,549 Queen St  Chatham ON N7M 2J6,Food Store/Food Sales (Convenience/Variety),28-Feb-2024,location.href = '/Facility/Details/6d29cf97-6a09-4a22-aabc-56e3c7d82252' ,Food Premisis
3,A Taste Of Home,93 English Street  Blenheim ON N0P 1A0,Food Take Out,31-Oct-2023,location.href = '/Facility/Details/e9492607-f0d3-4abf-9ed6-65d3907bfeea' ,Food Premisis
4,A&W,505 Grand Avenue W  Chatham ON N7L 1C5,Restaurant,17-Jan-2024,location.href = '/Facility/Details/9306d8a5-c77a-44be-9ada-8174ec1455ea' ,Food Premisis
5,A&W,67 McNaughton Avenue  Wallaceburg Ontario N8A 1R7,Restaurant,27-Mar-2024,location.href = '/Facility/Details/a5f65a2a-c405-478c-86d3-a6b76f47a10a' ,Food Premisis
6,A. A. Wright Public School,55 Elm St  Wallaceburg ON N8A 3M7,School Nourishment Program,02-Apr-2019,location.href = '/Facility/Details/df6f2a4f-da99-46a7-a2bf-1d66feb4bdec' ,Food Premisis
7,A-1 Chinese Restaurant,53 McNaughton Ave  Wallaceburg ON N8A 1R9,Restaurant,23-Nov-2023,location.href = '/Facility/Details/3feabd70-6322-4638-9197-174b2f5f1f3e' ,Food Premisis
8,Academy of Sacred Knowledge,51 Prince St N  Chatham ON N7M 4J7,Cafeteria,06-Nov-2023,location.href = '/Facility/Details/a4c3d631-0569-49ac-93cc-5dff9015fd4e' ,Food Premisis
9,Active Lifestyle Centre,20 Merritt Ave  Chatham ON N7M 6G9,Restaurant,03-Jan-2024,location.href = '/Facility/Details/92295d79-101f-46b4-a31d-790c260b79aa' ,Food Premisis
10,Adelaide's Kitchen,8773 Talbot Trail  Blenheim ON N0P 1A0,Food Take Out,20-Jun-2022,location.href = '/Facility/Details/0eda4094-0a62-489c-90fc-301169d87994' ,Food Premisis
11,Adult Language & Learning,240 King Street West Chatham  Ontario N7M 1E7,Bakery,28-Apr-2023,location.href = '/Facility/Details/0927389d-1522-4cf1-9770-e738255acb15' ,Food Premisis
12,All Occasions Gifts & More,805 Murray Street  Wallaceburg Ontario N8A 1W5,Food Store/Food Sales (Convenience/Variety),28-Feb-2023,location.href = '/Facility/Details/057c02c6-5128-4abc-a559-749d737c6fd9' ,Food Premisis
13,Anchored Pantry & Books,31 Talbot Rd E  Wheatley Ontario N0P 2P0,Food Store/Food Sales (Convenience/Variety),19-Oct-2023,location.href = '/Facility/Details/35e37ae7-2f94-47b9-a535-a91db708b53f' ,Food Premisis
14,Andy's Place,419 St. Clair St  Chatham ON N7L 3K4,Restaurant,16-Nov-2023,location.href = '/Facility/Details/0057e038-e3fe-4408-81ae-1c35e409b7af' ,Food Premisis
15,Ann's Convenience & Video,5-461 St  Clair St Chatham ON N7L 3K6,Food Store/Food Sales (Convenience/Variety),19-Mar-2024,location.href = '/Facility/Details/89b99d4e-38b2-4f3d-84be-a6b498c440a2' ,Food Premisis
16,Ann's Tobacco Shop,861 Charing Cross Rd  Chatham ON N7M 2K6,Food Store/Food Sales (Convenience/Variety),29-Feb-2024,location.href = '/Facility/Details/492a4a1c-f498-4376-bcb5-ef4ccd0e6cf4' ,Food Premisis
17,Arby's Restaurant,1070 Richmond St  Chatham ON N7M 5J5,Restaurant,12-Feb-2024,location.href = '/Facility/Details/911a3b4f-0ce0-466a-abe6-251bb4bd8e9b' ,Food Premisis
18,Armoury Four Diamond Catering Ltd.,44 William Street N  Chatham ON N7M 2H3,Banquet Facility/Public Hall,11-Dec-2023,location.href = '/Facility/Details/330b1ab0-4bfb-44cc-9df9-98246792d742' ,Food Premisis
19,Ashley's Place,75 Queen Street North  Tilbury ON N0P 2L0,Restaurant,19-Dec-2023,location.href = '/Facility/Details/1e757962-7718-4303-a879-17a204f21686' ,Food Premisis
20,Babo's Kitchen,19622 Kress Rd  Highgate ON N0P 1T0,Bakery,08-Feb-2024,location.href = '/Facility/Details/058fa4bc-e0e5-4217-bf3d-45f78df06f99' ,Food Premisis
21,Backyard Burgers and More,2-425 St  Clair Street Chatham N7L 3K4,Restaurant,16-Apr-2024,location.href = '/Facility/Details/6afbc1fb-a6af-4f50-9600-1c30f48c51de' ,Food Premisis
22,Baja Cafe,21 Keil Dr S  Chatham ON N7M 3G7,Ice Cream / Yogurt Vendor,07-Mar-2024,location.href = '/Facility/Details/2fd2b47f-a988-4f7e-9c0e-3225db8c240e' ,Food Premisis
